summary_type,metric,value,share,is_relevant,relevance_type,count,stratum,share_within_stratum,event_type,news_scope,expected_competitor_effect,materiality,confidence
relevance_type_by_stratum,,,,,not_relevant,3.0,airlines_travel__macro_policy,0.06,,,,,
relevance_type_by_stratum,,,,,target_company_news,18.0,airlines_travel__macro_policy,0.36,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,1.0,airlines_travel__market_roundup_or_advice,0.02,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,18.0,airlines_travel__market_roundup_or_advice,0.36,,,,,
relevance_type_by_stratum,,,,,not_relevant,19.0,airlines_travel__market_roundup_or_advice,0.38,,,,,
relevance_type_by_stratum,,,,,target_company_news,12.0,airlines_travel__market_roundup_or_advice,0.24,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,3.0,airlines_travel__other_unclear,0.06,,,,,
relevance_type_by_stratum,,,,,industry_news,21.0,airlines_travel__other_unclear,0.42,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,12.0,airlines_travel__other_unclear,0.24,,,,,
relevance_type_by_stratum,,,,,not_relevant,5.0,airlines_travel__other_unclear,0.1,,,,,
relevance_type_by_stratum,,,,,target_company_news,9.0,airlines_travel__other_unclear,0.18,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,9.0,autos_ev__analyst_or_earnings,0.18,,,,,
relevance_type_by_stratum,,,,,industry_news,2.0,autos_ev__analyst_or_earnings,0.04,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,3.0,autos_ev__analyst_or_earnings,0.06,,,,,
relevance_type_by_stratum,,,,,not_relevant,3.0,autos_ev__analyst_or_earnings,0.06,,,,,
relevance_type_by_stratum,,,,,target_company_news,33.0,autos_ev__analyst_or_earnings,0.66,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,5.0,autos_ev__firm_event,0.1,,,,,
relevance_type_by_stratum,,,,,industry_news,5.0,autos_ev__firm_event,0.1,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,2.0,autos_ev__firm_event,0.04,,,,,
relevance_type_by_stratum,,,,,not_relevant,8.0,autos_ev__firm_event,0.16,,,,,
relevance_type_by_stratum,,,,,target_company_news,30.0,autos_ev__firm_event,0.6,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,3.0,autos_ev__macro_policy,0.06,,,,,
relevance_type_by_stratum,,,,,industry_news,1.0,autos_ev__macro_policy,0.02,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,12.0,autos_ev__macro_policy,0.24,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,12.0,autos_ev__macro_policy,0.24,,,,,
relevance_type_by_stratum,,,,,not_relevant,6.0,autos_ev__macro_policy,0.12,,,,,
relevance_type_by_stratum,,,,,target_company_news,16.0,autos_ev__macro_policy,0.32,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,1.0,autos_ev__market_roundup_or_advice,0.02,,,,,
relevance_type_by_stratum,,,,,industry_news,1.0,autos_ev__market_roundup_or_advice,0.02,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,5.0,autos_ev__market_roundup_or_advice,0.1,,,,,
relevance_type_by_stratum,,,,,not_relevant,30.0,autos_ev__market_roundup_or_advice,0.6,,,,,
relevance_type_by_stratum,,,,,target_company_news,13.0,autos_ev__market_roundup_or_advice,0.26,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,4.0,autos_ev__other_unclear,0.08,,,,,
relevance_type_by_stratum,,,,,industry_news,18.0,autos_ev__other_unclear,0.36,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,9.0,autos_ev__other_unclear,0.18,,,,,
relevance_type_by_stratum,,,,,not_relevant,6.0,autos_ev__other_unclear,0.12,,,,,
relevance_type_by_stratum,,,,,target_company_news,13.0,autos_ev__other_unclear,0.26,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,10.0,banks_finance__analyst_or_earnings,0.2,,,,,
relevance_type_by_stratum,,,,,industry_news,1.0,banks_finance__analyst_or_earnings,0.02,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,10.0,banks_finance__analyst_or_earnings,0.2,,,,,
relevance_type_by_stratum,,,,,not_relevant,13.0,banks_finance__analyst_or_earnings,0.26,,,,,
relevance_type_by_stratum,,,,,target_company_news,16.0,banks_finance__analyst_or_earnings,0.32,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,5.0,banks_finance__firm_event,0.1,,,,,
relevance_type_by_stratum,,,,,industry_news,5.0,banks_finance__firm_event,0.1,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,2.0,banks_finance__firm_event,0.04,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,3.0,banks_finance__firm_event,0.06,,,,,
relevance_type_by_stratum,,,,,not_relevant,9.0,banks_finance__firm_event,0.18,,,,,
relevance_type_by_stratum,,,,,target_company_news,26.0,banks_finance__firm_event,0.52,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,1.0,banks_finance__macro_policy,0.02,,,,,
relevance_type_by_stratum,,,,,industry_news,1.0,banks_finance__macro_policy,0.02,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,22.0,banks_finance__macro_policy,0.44,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,12.0,banks_finance__macro_policy,0.24,,,,,
relevance_type_by_stratum,,,,,not_relevant,5.0,banks_finance__macro_policy,0.1,,,,,
relevance_type_by_stratum,,,,,target_company_news,9.0,banks_finance__macro_policy,0.18,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,3.0,banks_finance__market_roundup_or_advice,0.06,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,10.0,banks_finance__market_roundup_or_advice,0.2,,,,,
relevance_type_by_stratum,,,,,not_relevant,26.0,banks_finance__market_roundup_or_advice,0.52,,,,,
relevance_type_by_stratum,,,,,target_company_news,11.0,banks_finance__market_roundup_or_advice,0.22,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,4.0,banks_finance__other_unclear,0.08,,,,,
relevance_type_by_stratum,,,,,industry_news,14.0,banks_finance__other_unclear,0.28,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,1.0,banks_finance__other_unclear,0.02,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,11.0,banks_finance__other_unclear,0.22,,,,,
relevance_type_by_stratum,,,,,not_relevant,12.0,banks_finance__other_unclear,0.24,,,,,
relevance_type_by_stratum,,,,,target_company_news,8.0,banks_finance__other_unclear,0.16,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,10.0,big_tech_cloud__analyst_or_earnings,0.2,,,,,
relevance_type_by_stratum,,,,,industry_news,3.0,big_tech_cloud__analyst_or_earnings,0.06,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,6.0,big_tech_cloud__analyst_or_earnings,0.12,,,,,
relevance_type_by_stratum,,,,,not_relevant,10.0,big_tech_cloud__analyst_or_earnings,0.2,,,,,
relevance_type_by_stratum,,,,,target_company_news,21.0,big_tech_cloud__analyst_or_earnings,0.42,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,8.0,big_tech_cloud__firm_event,0.16,,,,,
relevance_type_by_stratum,,,,,industry_news,2.0,big_tech_cloud__firm_event,0.04,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,1.0,big_tech_cloud__firm_event,0.02,,,,,
relevance_type_by_stratum,,,,,not_relevant,11.0,big_tech_cloud__firm_event,0.22,,,,,
relevance_type_by_stratum,,,,,target_company_news,28.0,big_tech_cloud__firm_event,0.56,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,3.0,big_tech_cloud__macro_policy,0.06,,,,,
relevance_type_by_stratum,,,,,industry_news,3.0,big_tech_cloud__macro_policy,0.06,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,10.0,big_tech_cloud__macro_policy,0.2,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,12.0,big_tech_cloud__macro_policy,0.24,,,,,
relevance_type_by_stratum,,,,,not_relevant,10.0,big_tech_cloud__macro_policy,0.2,,,,,
relevance_type_by_stratum,,,,,target_company_news,12.0,big_tech_cloud__macro_policy,0.24,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,2.0,big_tech_cloud__market_roundup_or_advice,0.04,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,8.0,big_tech_cloud__market_roundup_or_advice,0.16,,,,,
relevance_type_by_stratum,,,,,not_relevant,30.0,big_tech_cloud__market_roundup_or_advice,0.6,,,,,
relevance_type_by_stratum,,,,,target_company_news,10.0,big_tech_cloud__market_roundup_or_advice,0.2,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,18.0,other_unclear__market_roundup_or_advice,0.36,,,,,
relevance_type_by_stratum,,,,,not_relevant,29.0,other_unclear__market_roundup_or_advice,0.58,,,,,
relevance_type_by_stratum,,,,,target_company_news,3.0,other_unclear__market_roundup_or_advice,0.06,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,5.0,other_unclear__other_unclear,0.1,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,1.0,other_unclear__other_unclear,0.02,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,15.0,other_unclear__other_unclear,0.3,,,,,
relevance_type_by_stratum,,,,,not_relevant,24.0,other_unclear__other_unclear,0.48,,,,,
relevance_type_by_stratum,,,,,target_company_news,5.0,other_unclear__other_unclear,0.1,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,14.0,semiconductors_ai__analyst_or_earnings,0.28,,,,,
relevance_type_by_stratum,,,,,industry_news,6.0,semiconductors_ai__analyst_or_earnings,0.12,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,1.0,semiconductors_ai__analyst_or_earnings,0.02,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,14.0,semiconductors_ai__analyst_or_earnings,0.28,,,,,
relevance_type_by_stratum,,,,,not_relevant,4.0,semiconductors_ai__analyst_or_earnings,0.08,,,,,
relevance_type_by_stratum,,,,,target_company_news,11.0,semiconductors_ai__analyst_or_earnings,0.22,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,14.0,semiconductors_ai__firm_event,0.28,,,,,
relevance_type_by_stratum,,,,,industry_news,4.0,semiconductors_ai__firm_event,0.08,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,4.0,semiconductors_ai__firm_event,0.08,,,,,
relevance_type_by_stratum,,,,,not_relevant,9.0,semiconductors_ai__firm_event,0.18,,,,,
relevance_type_by_stratum,,,,,target_company_news,19.0,semiconductors_ai__firm_event,0.38,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,1.0,semiconductors_ai__macro_policy,0.02,,,,,
relevance_type_by_stratum,,,,,industry_news,3.0,semiconductors_ai__macro_policy,0.06,,,,,
relevance_type_by_stratum,,,,,macro_policy_news,8.0,semiconductors_ai__macro_policy,0.16,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,24.0,semiconductors_ai__macro_policy,0.48,,,,,
relevance_type_by_stratum,,,,,not_relevant,9.0,semiconductors_ai__macro_policy,0.18,,,,,
relevance_type_by_stratum,,,,,target_company_news,5.0,semiconductors_ai__macro_policy,0.1,,,,,
relevance_type_by_stratum,,,,,competitor_company_news,3.0,semiconductors_ai__market_roundup_or_advice,0.06,,,,,
relevance_type_by_stratum,,,,,market_roundup_but_relevant,14.0,semiconductors_ai__market_roundup_or_advice,0.28,,,,,
relevance_type_by_stratum,,,,,not_relevant,30.0,semiconductors_ai__market_roundup_or_advice,0.6,,,,,
relevance_type_by_stratum,,,,,target_company_news,3.0,semiconductors_ai__market_roundup_or_advice,0.06,,,,,
event_type_distribution,,,0.0824,,,103.0,,,analyst_rating_or_price_target,,,,
event_type_distribution,,,0.0232,,,29.0,,,demand_sales_or_deliveries,,,,
event_type_distribution,,,0.0816,,,102.0,,,earnings_or_guidance,,,,
event_type_distribution,,,0.0144,,,18.0,,,financing_capital_return,,,,
event_type_distribution,,,0.0112,,,14.0,,,investment_advice_or_etf,,,,
event_type_distribution,,,0.0456,,,57.0,,,legal_regulatory_policy,,,,
event_type_distribution,,,0.12,,,150.0,,,macro_rates_tariffs_oil_geopolitics,,,,
event_type_distribution,,,0.0368,,,46.0,,,management_or_governance,,,,
event_type_distribution,,,0.1912,,,239.0,,,market_roundup,,,,
event_type_distribution,,,0.0144,,,18.0,,,merger_acquisition_investment,,,,
event_type_distribution,,,0.256,,,320.0,,,not_applicable,,,,
event_type_distribution,,,0.0168,,,21.0,,,other,,,,
event_type_distribution,,,0.0424,,,53.0,,,partnership_or_contract,,,,
event_type_distribution,,,0.048,,,60.0,,,product_or_technology,,,,
event_type_distribution,,,0.016,,,20.0,,,supply_chain_or_production,,,,
news_scope_distribution,,,0.3792,,,474.0,,,,firm_specific,,,
news_scope_distribution,,,0.1576,,,197.0,,,,industry_wide,,,
news_scope_distribution,,,0.132,,,165.0,,,,macro_wide,,,
news_scope_distribution,,,0.0752,,,94.0,,,,mixed,,,
news_scope_distribution,,,0.256,,,320.0,,,,not_applicable,,,
expected_competitor_effect_distribution,,,0.016,,,20.0,,,,,negative_for_competitors,,
expected_competitor_effect_distribution,,,0.2496,,,312.0,,,,,neutral_or_no_clear_effect,,
expected_competitor_effect_distribution,,,0.256,,,320.0,,,,,not_applicable,,
expected_competitor_effect_distribution,,,0.0064,,,8.0,,,,,opposite_direction_competition,,
expected_competitor_effect_distribution,,,0.012,,,15.0,,,,,positive_for_competitors,,
expected_competitor_effect_distribution,,,0.46,,,575.0,,,,,same_direction_contagion,,
materiality_distribution,,,0.256,,,320.0,,,,,,0.0,
materiality_distribution,,,0.0336,,,42.0,,,,,,1.0,
materiality_distribution,,,0.2264,,,283.0,,,,,,2.0,
materiality_distribution,,,0.2576,,,322.0,,,,,,3.0,
materiality_distribution,,,0.212,,,265.0,,,,,,4.0,
materiality_distribution,,,0.0144,,,18.0,,,,,,5.0,
confidence_distribution,,,0.0008,,,1.0,,,,,,,2.0
confidence_distribution,,,0.036,,,45.0,,,,,,,3.0
confidence_distribution,,,0.5272,,,659.0,,,,,,,4.0
confidence_distribution,,,0.436,,,545.0,,,,,,,5.0
